id,room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price
6901257,Entire home/apt,3,1,strict,TRUE,f,100,1,1,5.010635294
6304928,Entire home/apt,7,1,strict,TRUE,t,93,3,3,5.129898715
7919400,Entire home/apt,5,1,moderate,TRUE,t,92,1,3,4.976733742
13418779,Entire home/apt,4,1,flexible,TRUE,f,,2,2,6.620073207
3808709,Entire home/apt,2,1,moderate,TRUE,t,40,0,1,4.744932128
12422935,Private room,2,1,strict,TRUE,t,100,1,1,4.442651256
11825529,Entire home/apt,3,1,moderate,TRUE,t,97,1,1,4.418840608
13971273,Entire home/apt,2,1,moderate,TRUE,f,93,1,1,4.787491743
180792,Private room,2,1,moderate,TRUE,f,99,1,1,4.787491743
5385260,Private room,2,1,moderate,TRUE,t,90,1,1,3.583518938
5578513,Private room,2,1,strict,TRUE,f,93,1,1,4.605170186
17423675,Entire home/apt,4,1.5,strict,TRUE,f,97,2,2,5.010635294
14066228,Private room,2,1,flexible,TRUE,f,,1,1,4.248495242
2658946,Entire home/apt,6,1.5,strict,TRUE,t,89,2,3,5.298317367
583490,Entire home/apt,2,1,strict,TRUE,f,100,1,1,4.955827058
6226658,Private room,2,1.5,moderate,TRUE,f,,1,1,4.094344562
7499179,Private room,2,1,strict,FALSE,f,91,1,1,4.317488114
14648556,Private room,2,2,strict,TRUE,f,88,1,1,4.59511985
17589436,Entire home/apt,2,1,strict,TRUE,f,86,1,2,4.882801923
18224863,Entire home/apt,8,1,strict,TRUE,t,72,3,3,4.59511985
7264511,Private room,2,1,strict,TRUE,f,98,1,1,4.382026635
16679342,Private room,2,1.5,strict,TRUE,f,89,1,1,3.688879454
3563677,Entire home/apt,4,1,moderate,TRUE,t,99,1,1,4.905274778
17615783,Private room,2,1,moderate,TRUE,f,100,1,1,4.007333185
2479317,Entire home/apt,4,1,moderate,TRUE,f,,1,2,6.956545443
14122244,Entire home/apt,6,1,strict,TRUE,f,100,3,3,5.003946306
19407360,Entire home/apt,2,1,flexible,TRUE,f,100,1,1,4.553876892
14490881,Entire home/apt,4,1,strict,TRUE,f,100,2,2,5.003946306
851978,Entire home/apt,3,1,flexible,TRUE,f,95,1,2,5.192956851
4734170,Private room,3,1,strict,TRUE,f,88,1,2,4.65396035
421056,Private room,2,1,strict,TRUE,f,100,1,1,4.317488114
5520582,Private room,2,1,strict,TRUE,f,,1,1,3.828641396
8908966,Entire home/apt,4,1,strict,TRUE,f,96,2,3,5.220355825
10994968,Private room,1,,moderate,TRUE,f,99,1,1,4.48863637
5559765,Entire home/apt,4,1,flexible,TRUE,t,,1,2,4.356708827
15705862,Private room,2,1,moderate,TRUE,t,96,1,1,4.382026635
16904896,Private room,2,1,strict,TRUE,t,96,1,1,4.828313737
4209927,Private room,1,1,strict,TRUE,f,84,1,1,3.912023005
12232154,Entire home/apt,2,,strict,TRUE,f,100,1,1,4.744932128
4680055,Private room,2,1,strict,TRUE,t,96,1,1,4.682131227
19813606,Entire home/apt,5,2,strict,TRUE,t,,2,2,5.521460918
18191678,Shared room,4,1,moderate,TRUE,f,,1,1,4.787491743
12428036,Private room,8,1,moderate,TRUE,t,92,1,7,4.317488114
4014942,Entire home/apt,4,1.5,moderate,TRUE,f,95,2,2,4.997212274
11376382,Entire home/apt,2,1,flexible,FALSE,t,80,1,1,5.783825182
15238989,Entire home/apt,2,1,flexible,FALSE,f,,1,1,5.521460918
18004987,Entire home/apt,2,1,moderate,TRUE,f,,1,1,5.010635294
5117069,Private room,1,1,flexible,FALSE,f,,1,1,4.007333185
16246049,Private room,2,1,flexible,FALSE,f,,1,1,3.555348061
17708004,Private room,2,1,strict,TRUE,t,88,1,1,4.007333185
13435559,Private room,2,1,strict,FALSE,f,96,1,1,4.158883083
17621139,Entire home/apt,2,1,flexible,TRUE,f,,1,1,4.753590191
3530517,Entire home/apt,6,2,flexible,TRUE,t,97,3,3,6.620073207
13412641,Entire home/apt,2,1,flexible,TRUE,f,,1,1,4.828313737
17078757,Private room,2,1,flexible,TRUE,f,100,1,1,4.779123493
6443678,Entire home/apt,5,1,strict,TRUE,f,100,0,2,4.744932128
8926164,Entire home/apt,2,1,strict,TRUE,f,94,1,1,4.682131227
17556957,Entire home/apt,2,1,strict,TRUE,f,80,1,1,4.94875989
2503128,Private room,2,1,strict,TRUE,f,100,3,1,3.688879454
9471893,Entire home/apt,4,1,strict,TRUE,f,93,2,2,5.857933154
4274462,Entire home/apt,6,1,strict,TRUE,f,100,2,4,4.828313737
1948096,Private room,2,1,flexible,FALSE,f,,1,1,4.382026635
11712092,Entire home/apt,9,2.5,flexible,FALSE,f,,4,4,6.907755279
20918988,Private room,2,1.5,flexible,FALSE,f,,1,1,6.214608098
5806687,Entire home/apt,1,1,flexible,FALSE,f,,0,1,4.700480366
16474211,Entire home/apt,3,1,moderate,TRUE,f,100,1,1,4.49980967
15187281,Entire home/apt,5,1,flexible,TRUE,t,,2,3,5.517452896
20269518,Entire home/apt,3,1,moderate,TRUE,f,100,1,1,4.691347882
19247305,Entire home/apt,6,2,strict,TRUE,t,89,2,2,4.779123493
11095719,Entire home/apt,2,1,flexible,TRUE,f,100,0,1,4.49980967
4285537,Private room,2,1,flexible,TRUE,f,100,1,1,4.779123493
14668858,Entire home/apt,2,1,moderate,FALSE,f,,1,1,5.010635294
7822736,Entire home/apt,2,1,flexible,TRUE,f,,1,1,4.605170186
15990686,Private room,2,1,strict,TRUE,f,87,1,1,3.80666249
19135811,Private room,2,1,flexible,FALSE,f,,1,1,5.010635294
15956956,Entire home/apt,2,2,strict,TRUE,f,100,1,1,5.164785974
6924942,Private room,2,1,moderate,TRUE,f,100,2,2,4.700480366
6972777,Private room,1,1,flexible,TRUE,f,80,1,1,3.80666249
